feature,tfidf_value,class_weight,contribution
need,0.1465407424312105,15.856194309625753,2.323578486266093
urgently,0.2790755692939713,5.468231992807695,1.5260499564243148
food,0.1537098553669447,6.71679856753642,1.0324381363449244
medicine,0.2654061682823979,3.816150830667307,1.0128299695550997
water,0.14162867185828099,4.978149816141963,0.7050487467717319
urgently need,0.3365918404060807,1.775015046935016,0.5974555813963428
need food,0.2940999684803045,1.462721243955242,0.43018627174270846
and medicine,0.31549089457160673,1.3047071557020102,0.4116232277064038
we urgently,0.3821828033679016,0.7984845077656795,0.3051670476237264
clean water,0.2740825008472289,1.0176312836172112,0.2789149271541809
clean,0.2318403199845319,0.8977456345103542,0.20813363516959713
we,0.12741603115319594,1.5291794101549392,0.19484197136312753
food clean,0.36742698347942565,0.1080864211842993,0.03971386769083378
and,0.07931149306708916,0.34480803247197445,0.027347239876877656
water and,0.2339462488397265,0.10670056079576705,0.024962195947264884
