class_name,direction,rank,feature,weight
caution_and_advice,positive,1,warning,14.424792944455236
caution_and_advice,positive,2,emergency,13.77453360191433
caution_and_advice,positive,3,warnings,9.326809996392914
caution_and_advice,positive,4,tornado,7.416330838854889
caution_and_advice,positive,5,tips,6.124769562095602
caution_and_advice,positive,6,florence,5.787788608533323
caution_and_advice,positive,7,hurricaneflorence,5.358270727937894
caution_and_advice,positive,8,alert,5.211422879241763
caution_and_advice,positive,9,flooding,4.942512734550484
caution_and_advice,positive,10,your,4.82301705555548
caution_and_advice,positive,11,winds,4.483904089305776
caution_and_advice,positive,12,rain,4.410260321598791
caution_and_advice,positive,13,stay,4.405607624654986
caution_and_advice,positive,14,dangerous,4.3772204736355
caution_and_advice,positive,15,issued,4.331864416271525
caution_and_advice,negative,1,relief,-6.5106743058076155
caution_and_advice,negative,2,donate,-5.898627970897001
caution_and_advice,negative,3,damage,-5.454061147594573
caution_and_advice,negative,4,victims,-5.181734470867816
caution_and_advice,negative,5,help,-5.03620325393164
caution_and_advice,negative,6,evacuation,-5.014479903098665
caution_and_advice,negative,7,prayers,-4.889193517723947
caution_and_advice,negative,8,evacuations,-4.774271368119377
caution_and_advice,negative,9,dead,-4.326105529975602
caution_and_advice,negative,10,evacuees,-4.313030919375228
caution_and_advice,negative,11,destroyed,-4.254553336964224
caution_and_advice,negative,12,toll,-4.060847769310137
caution_and_advice,negative,13,thoughts,-4.04025285865782
caution_and_advice,negative,14,donations,-4.008213984285646
caution_and_advice,negative,15,volunteers,-4.0081345235062456
displaced_people_and_evacuations,positive,1,evacuation,28.024827852016184
displaced_people_and_evacuations,positive,2,evacuees,23.126953118937315
displaced_people_and_evacuations,positive,3,evacuations,22.178185548516453
displaced_people_and_evacuations,positive,4,evacuate,20.076843446104583
displaced_people_and_evacuations,positive,5,displaced,20.011883946177775
displaced_people_and_evacuations,positive,6,evacuated,18.046262735570647
displaced_people_and_evacuations,positive,7,evacuating,14.102858031692959
displaced_people_and_evacuations,positive,8,to evacuate,8.78050383422054
displaced_people_and_evacuations,positive,9,mandatory,6.386522919966949
displaced_people_and_evacuations,positive,10,shelters,6.0341212548663705
displaced_people_and_evacuations,positive,11,evacuee,5.284472168206237
displaced_people_and_evacuations,positive,12,shelter,5.234506087205357
displaced_people_and_evacuations,positive,13,displaced by,4.585196510882502
displaced_people_and_evacuations,positive,14,flee,4.187423112217909
displaced_people_and_evacuations,positive,15,evacuates,4.166733039915268
displaced_people_and_evacuations,negative,1,damage,-6.150368747008271
displaced_people_and_evacuations,negative,2,earthquake,-4.58528033512585
displaced_people_and_evacuations,negative,3,relief,-4.384408443616767
displaced_people_and_evacuations,negative,4,donate,-4.10603559274864
displaced_people_and_evacuations,negative,5,killed,-3.83029983819124
